,,,,,Llama3.1-8B,,,,Llama3.1-70B,,,,Llama3.1-405B,,,,Gemini1.5-pro,,,,GPT-4.0mini,,,,GPT-4.0,,,,Claude-3.5,,,,OpenAI-o3-mini,,,,DeepSeek-Reasoner,,,,o3-mini(one_shot),,,,Claude-3.5(single-state),,,,DeepSeek-Reasoner(two_shot),,,,GPT-4o(tool_agent),,,,GPT-4o(single_state),,,,Claude-3.5(without_summarizer),,,,Claude-3.5(without_thought),,,,GPT-4o(without_summarizer),,,
s1.20,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,2,fail,,wrong_answer,0,fail,0/1,give_up,3,pass,,,3,fail,,wrong_answer,2,pass,,,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.21,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,2,fail,,give_up,3,fail,0/1,give_up,2,fail,,give_up,5,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2.1 (btlo_port scanning),btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,wrong_answer,1,pass,,,1,pass,,,,pass,,,7,pass,,,4,pass,01-Jan,,4,pass,,,4,pass,,,4,pass,,,5,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s2.2,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,give_up,1,fail,,wrong_answer,1,pass,,,,pass,,,5,fail,,wrong_answer,2,pass,01-Jan,,2,pass,,,3,pass,,,2,pass,,,2,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,
s2.3,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,round_exceed,1,fail,,wrong_answer,1,pass,,,,pass,,,3,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,
s2.4,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,round_exceed,1,fail,,wrong_answer,1,pass,,,,pass,,,3,pass,,,3,pass,01-Jan,,3,pass,,,3,pass,,,2,pass,,,4,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s2.5,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,round_exceed,1,fail,,wrong_answer,1,fail,,wrong_answer,,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,0/1,give_up,3,pass,,,5,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,context limit,,,pass,,,,fail,,,
s2.6,btlo_port_scanning,Easy,Network Forensics,Execution,fail,0/1,round_exceed,1,fail,,wrong_answer,1,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,give_up,5,fail,0/1,wrong_answer,5,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s2.7,btlo_port_scanning,Easy,Network Forensics,Initial Access,fail,0/1,round_exceed,1,pass,,,1,fail,,wrong_answer,,pass,,,5,fail,,give_up,3,pass,01-Jan,,3,pass,,,2,fail,,wrong_answer,3,pass,,,2,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,
s2.8,btlo_port_scanning,Easy,Network Forensics,Execution,fail,0/1,round_exceed,1,pass,,,1,fail,,wrong_answer,,pass,,,8,fail,,give_up,3,pass,01-Jan,,11,pass,,,2,pass,,,3,pass,,,4,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,
s2.9,btlo_port_scanning,Easy,Network Forensics,Command and Control,fail,0/1,round_exceed,1,pass,,,1,fail,,wrong_answer,,pass,,,3,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,pass,,,4,pass,,,2,pass,,,3,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s2.10,btlo_port_scanning,Easy,Network Forensics,Command and Control,fail,0/1,round_exceed,1,fail,,wrong_answer,1,fail,,wrong_answer,,pass,,,3,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,pass,,,3,pass,,,3,pass,,,2,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s3.1 (ulysses ),ulysses,Medium,Memory Forensics,,fail,0/1,wrong_answer,,Pass,,,,fail,,wrong_answer,,fail,,wrong_answer,4,pass,,,4,pass,01-Jan,,4,pass,,,3,pass,,,4,pass,,,3,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,
s3.2,ulysses,Medium,Memory Forensics,,fail,0/1,wrong_answer,,fail,,give_up,,fail,,wrong_answer,,pass,,,7,fail,,wrong_answer,4,pass,01-Jan,,6,pass,,,7,pass,,,6,pass,,,4,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,
s3.3,ulysses,Medium,Memory Forensics,Credential Access,fail,0/1,round_exceed,,fail,,give_up,,fail,,wrong_answer,,pass,,,3,fail,,wrong_answer,7,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,3,fail,,round_exceed,10,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,
s3.4,ulysses,Medium,Memory Forensics,Credential Access,fail,0/1,round_exceed,,fail,,give_up,,fail,,wrong_answer,,pass,,,3,fail,,give_up,6,pass,01-Jan,,3,pass,,,4,fail,,wrong_answer,3,fail,,give_up,5,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s3.5,ulysses,Medium,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,give_up,,fail,,wrong_answer,,fail,,wrong_answer,6,fail,,wrong_answer,4,fail,0/1,wrong_answer,4,fail,,wrong_answer,4,fail,,wrong_answer,2,pass,,,2,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s3.6,ulysses,Medium,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,pass,,,,fail,,give_up,7,fail,,wrong_answer,2,pass,01-Jan,,3,pass,,,4,pass,,,3,pass,,,2,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s3.7,ulysses,Medium,Memory Forensics,Initial Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,3,pass,,,4,fail,0/1,wrong_answer,4,pass,,,7,fail,,wrong_answer,2,pass,,,2,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s3.8,ulysses,Medium,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,5,fail,,give_up,4,fail,0/1,wrong_answer,4,pass,,,7,fail,,wrong_answer,4,fail,,wrong_answer,2,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s3.9,ulysses,Medium,Memory Forensics,Exfiltration,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,4,fail,,give_up,2,pass,01-Jan,,2,pass,,,4,fail,,wrong_answer,2,pass,,,2,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,
s3.10,ulysses,Medium,Memory Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,round_exceed,,fail,,give_up,5,fail,,wrong_answer,3,pass,01-Jan,,7,fail,,wrong_answer,6,fail,,wrong_answer,3,fail,,wrong_answer,2,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s4.1(thm_profile),thm_profile,Medium,Memory Forensics,Credential Access,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,12,fail,,wrong_answer,7,pass,0/1,,7,fail,,wrong_answer,5,fail,,wrong_answer,3,fail,,wrong_answer,7,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,fail,,,,pass,,,
s4.2,thm_profile,Medium,Memory Forensics,Collection,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,6,fail,,wrong_answer,5,fail,01-Jan,give_up,6,fail,,wrong_answer,7,fail,,wrong_answer,7,fail,,wrong_answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,pass,,,,fail,,,,pass,,,
s4.3,thm_profile,Medium,Memory Forensics,Execution,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,6,fail,,wrong_answer,9,fail,0/1,give_up,18,fail,,wrong_answer,8,fail,,wrong_answer,3,fail,,round_exceed,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s4.4,thm_profile,Medium,Memory Forensics,Command and Control,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,3,pass,,,4,pass,01-Jan,,3,pass,,,5,fail,,wrong_answer,3,pass,,,3,fail,,,,pass,,,,,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,context limit,,
s4.5,thm_profile,Medium,Memory Forensics,Persistence,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,4,fail,,wrong_answer,4,fail,01-Jan,give_up,5,pass,,,4,fail,,wrong_answer,3,fail,,wrong_answer,4,fail,,,,pass,,,,,,,,fail,,,,pass,,,,fail,,,,pass,,,,fail,,,
s4.6,thm_profile,Medium,Memory Forensics,Persistence,fail,0/1,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,give_up,5,fail,,wrong_answer,3,pass,01-Jan,,5,pass,,,4,fail,,wrong_answer,2,fail,,wrong_answer,10,fail,,,,fail,,,,,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s5.1 (Maldoc_101),maldoc,Medium,Malware Analysis,Defense Evasion,fail,0/1,wrong_answer,1,fail,,wrong_answer,1,fail,,wrong_answer,,fail,,wrong_answer,5,pass,,,4,pass,01-Jan,,4,pass,,,5,fail,,wrong_answer,3,fail,,wrong_answer,7,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,
s5.2,maldoc,Medium,Malware Analysis,Execution,fail,0/1,round_exceed,1,fail,,round_exceed,1,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,5,pass,01-Jan,,4,pass,,,3,fail,,wrong_answer,3,pass,,,2,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,
s5.3,maldoc,Medium,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,1,fail,,round_exceed,1,fail,,give_up,,fail,,wrong_answer,5,fail,,wrong_answer,13,fail,0/1,give_up,11,fail,,wrong_answer,12,fail,,wrong_answer,4,fail,,wrong_answer,8,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s5.4,maldoc,Medium,Malware Analysis,Defense Evasion,fail,0/1,round_exceed,1,fail,,round_exceed,1,fail,,give_up,,fail,,wrong_answer,3,fail,,wrong_answer,5,fail,0/1,give_up,3,pass,,,3,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,
s5.5,maldoc,Medium,Malware Analysis,Execution,fail,0/1,round_exceed,1,fail,,round_exceed,1,fail,,give_up,,fail,,wrong_answer,3,fail,,wrong_answer,11,fail,0/1,give_up,3,fail,,wrong_answer,9,pass,,,2,fail,,wrong_answer,3,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s6.1 (Get_PDF),Get_PDF,Medium,Network Forensics,,fail,0/1,round_exceed,,pass,,,,fail,,wrong_answer,,fail,,wrong_answer,5,pass,,,4,pass,01-Jan,,3,pass,,,4,pass,,,3,pass,,,3,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s6.2,Get_PDF,Medium,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,6,fail,0/1,give_up,5,fail,,wrong_answer,4,fail,,wrong_answer,7,fail,,wrong_answer,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s6.3,Get_PDF,Medium,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,fail,,wrong_answer,3,fail,,wrong_answer,,fail,0/1,give_up,2,fail,,wrong_answer,2,fail,,wrong_answer,2,fail,,wrong_answer,3,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s6.4,Get_PDF,Medium,Network Forensics,Initial Access,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,5,fail,,wrong_answer,6,pass,01-Jan,,4,pass,,,5,fail,,wrong_answer,2,fail,,wrong_answer,9,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,
s6.5,Get_PDF,Medium,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,8,fail,,wrong_answer,4,pass,01-Jan,,3,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,wrong_answer,3,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s6.6,Get_PDF,Medium,Network Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,3,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,5,fail,,wrong_answer,3,fail,,wrong_answer,3,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,
s6.7,Get_PDF,Medium,Network Forensics,Execution,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,3,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,pass,,,4,fail,,wrong_answer,2,fail,,wrong_answer,3,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,
s6.8,Get_PDF,Medium,Network Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,wrong_answer,,fail,,give_up,3,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,fail,,give_up,6,fail,,wrong_answer,4,fail,,wrong_answer,3,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s9.1 (Ramnit),Ramnit,Easy,Memory Forensics,Execution,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,give_up,,pass,,,5,pass,,,7,pass,01-Jan,,3,fail,,wrong_answer,4,pass,,,3,pass,,,4,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,
s9.2,Ramnit,Easy,Memory Forensics,Defense Evasion,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,give_up,,pass,,,8,fail,,wrong_answer,4,pass,01-Jan,,3,fail,,wrong_answer,3,fail,,wrong_answer,2,fail,,wrong_answer,3,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,
s9.3,Ramnit,Easy,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,pass,,,3,pass,,,5,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,2,pass,,,3,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,context limit,,
s9.4,Ramnit,Easy,Memory Forensics,Command and Control,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,pass,,,3,fail,,wrong_answer,6,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,2,pass,,,4,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,
s9.5,Ramnit,Easy,Memory Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,9,fail,,wrong_answer,15,fail,0/1,give_up,3,pass,,,6,fail,,wrong_answer,2,fail,,round_exceed,10,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s9.6,Ramnit,Easy,Memory Forensics,,fail,0/1,round_exceed,,fail,,round_exceed,,fail,,give_up,,fail,,give_up,8,fail,,wrong_answer,2,fail,0/1,give_up,3,pass,,,4,fail,,wrong_answer,2,fail,,give_up,4,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,Memory Forensics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s10.1 (Grab_the_Fisher),phisher,Easy,Miscellaneous,Initial Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,6,fail,,wrong_answer,4,fail,0/1,wrong_answer,4,pass,,,6,pass,,,7,pass,,,5,fail,,,,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,fail,,,
s10.2,phisher,Easy,Miscellaneous,Initial Access,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,6,fail,,wrong_answer,5,pass,01-Jan,,8,pass,,,4,fail,,wrong_answer,2,fail,,wrong_answer,3,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,,pass,,,,fail,,,
s10.3,phisher,Easy,Miscellaneous,,fail,0/1,round_exceed,,fail,,wrong_answer,,fail,,wrong_answer,,pass,,,2,fail,,wrong_answer,3,fail,0/1,wrong_answer,3,fail,,,3,fail,,wrong_answer,2,fail,,wrong_answer,3,fail,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,
s10.4,phisher,Easy,Miscellaneous,Discovery,fail,0/1,round_exceed,,fail,,wrong_answer,,pass,,,,pass,,,3,fail,,wrong_answer,3,pass,01-Jan,,3,pass,,,3,fail,,wrong_answer,3,pass,,,3,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,pass,,,,pass,,,,fail,,,
