,,,,,Llama3.1-8B,,,,Llama3.1-70B,,,,Llama3.1-405B,,,,Gemini1.5-pro,,,,GPT-4.0mini,,,,GPT-4.0,,,,Claude-3.5,,,,OpenAI-o3-mini,,,,DeepSeek-Reasoner,,,,o3-mini(one_shot),,,,Claude-3.5(single-state),,,,DeepSeek-Reasoner(two_shot),,,,GPT-4o(tool_agent),,,,GPT-4o(single_state),,,,Claude-3.5(without_summarizer),,,,Claude-3.5(without_thought),,,
s1.10,hawkeye,Medium,Network Forensics,,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,"give up, wrong commands",6,fail,0/1,"wrong direction,",3,pass,1-Jan,,4,pass,,wrong answer,3,fail,,wrong answer,3,fail,,wrong answer,3,pass,,,,pass,,,,,,,,pass,,,,fail,,,,pass,,,,pass,,,
s1.11,hawkeye,Medium,Network Forensics,Initial Access,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,pass,1-Jan,,3,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,7,pass,,,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,pass,,,,pass,,,
s1.12,hawkeye,Medium,Network Forensics,Execution,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,"give up, wrong commands",10,fail,0/1,"give up, wrong commands",3,fail,0/1,wrong answer,6,fail,,,7,pass,,,4,fail,,wrong answer,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.13,hawkeye,Medium,Network Forensics,Command and Control,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,pass,1-Jan,,4,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,4,fail,,give up,3,pass,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,pass,,,
s1.14,hawkeye,Medium,Network Forensics,,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,"give up, wrong direction",6,fail,0/1,wrong answer,4,pass,1-Jan,,7,fail,,give up,6,fail,,wrong answer,2,pass,,give up,5,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.15,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,give up,5,fail,0/1,"wrong answer, wrong command",3,pass,1-Jan,,4,pass,,,3,pass,,,2,fail,,wrong answer,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.16,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,give up,2,pass,1-Jan,,5,pass,1-Jan,,4,pass,,,3,fail,,wrong answer,2,pass,,,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.17,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,give up,2,fail,0/1,"give up, wrong command",3,fail,0/1,give up soon,3,pass,,,3,pass,,,3,fail,,give up,4,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.18,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,give up,2,fail,0/1,"give up, wrong command",3,fail,0/1,give up soon,3,pass,,,3,pass,,,4,pass,,,3,fail,,,,pass,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.19,hawkeye,Medium,Network Forensics,Credential Access,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,give up,2,fail,0/1,"give up, wrong command",3,fail,0/1,give up soon,4,pass,,,3,fail,,wrong answer,4,fail,,wrong answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.20,hawkeye,Medium,Network Forensics,Exfiltration,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,give up,2,fail,0/1,"hallucination, without actual facts",0,fail,0/1,give up soon,3,pass,,,3,fail,,wrong answer,2,pass,,,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
s1.21,hawkeye,Medium,Network Forensics,Credential Access,fail,0/1,"round exceed, wrong commands in loop",,fail,0/1,"round exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,give up,2,fail,0/1,"give up, wrong command",3,fail,0/1,give up soon,2,fail,,give up,5,fail,,wrong answer,2,fail,,wrong answer,2,fail,,,,fail,,,,,,,,fail,,,,fail,,,,fail,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s2.1 (btlo_port scanning),btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,"wrong answer, session context loss, summarizer couldn't summarize properly",1,pass,1-Jan,,1,pass,1-Jan,,,pass,1-Jan,,7,pass,1-Jan,,4,pass,1-Jan,,4,pass,,,4,pass,,,4,pass,,,5,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s2.2,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,"given up, session context loss, summarizer couldn't summarize properly",1,fail,0/1,"wrong answer, wrong command",1,pass,1-Jan,,,pass,1-Jan,,5,fail,0/1,wrong interpretation of output,2,pass,1-Jan,,2,pass,,,3,pass,,,2,pass,,,2,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s2.3,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,"Round Exceed, same command in loop",1,fail,0/1,"wrong answer, hallucination, make up answer",1,pass,1-Jan,,,pass,1-Jan,,3,fail,0/1,chaining of 2nd ques,3,pass,1-Jan,,3,pass,,,3,pass,,,3,pass,,,3,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s2.4,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,"Round Exceed, same command in loop",1,fail,0/1,"wrong answer, hallucination, make up answer",1,pass,1-Jan,,,pass,1-Jan,,3,pass,1-Jan,,3,pass,1-Jan,,3,pass,,,3,pass,,,2,pass,,,4,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s2.5,btlo_port_scanning,Easy,Network Forensics,Reconnaissance,fail,0/1,"Round Exceed, same command in loop",1,fail,0/1,"wrong answer, hallucination, make up answer",1,fail,0/1,wrong answer,,fail,0/1,wrong answer,4,fail,0/1,Assumption without actually trying to solve the question.,3,fail,0/1,"given up, ",3,pass,,,5,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,pass,,,
s2.6,btlo_port_scanning,Easy,Network Forensics,Initial Access,fail,0/1,"Round Exceed, same command in loop",1,fail,0/1,wrong answer,1,fail,0/1,"wrong answer, same command in loop",,fail,0/1,wrong answer,3,fail,0/1,Give up and wrong commands,5,fail,0/1,"wrong answer, wrong direction",5,fail,,wrong answer,3,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s2.7,btlo_port_scanning,Easy,Network Forensics,Execution,fail,0/1,"Round Exceed, same command in loop",1,pass,1-Jan,,1,fail,0/1,"wrong answer, same command in loop",,pass,1-Jan,,5,fail,0/1,Give up and wrong commands,3,pass,1-Jan,,3,pass,,,2,fail,,wrong answer,3,pass,,,2,fail,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,
s2.8,btlo_port_scanning,Easy,Network Forensics,Execution,fail,0/1,"Round Exceed, same command in loop",1,pass,1-Jan,,1,fail,0/1,"wrong answer, same command in loop",,pass,1-Jan,,8,fail,0/1,give up and wrong commands,3,pass,1-Jan,,11,pass,,,2,pass,,,3,pass,,,4,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s2.9,btlo_port_scanning,Easy,Network Forensics,Command and Control,fail,0/1,"Round Exceed, same command in loop",1,pass,1-Jan,,1,fail,0/1,"wrong answer, same command in loop",,pass,1-Jan,,3,fail,0/1,wrong answer,3,fail,0/1,wrong answer,3,pass,,,4,pass,,,2,pass,,,3,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s2.10,btlo_port_scanning,Easy,Network Forensics,Command and Control,fail,0/1,"Round Exceed, same command in loop",1,fail,0/1,"wrong answer, hallucination, make up answer",1,fail,0/1,"wrong answer, same command in loop",,pass,1-Jan,,3,fail,0/1,wrong answer,3,fail,0/1,wrong answer,3,pass,,,3,pass,,,3,pass,,,2,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s3.1 (ulysses ),ulysses,Medium,Disk & Memory Forensics,,fail,0/1,wrong answer,,Pass,1-Jan,,,fail,0/1,wrong answer,,fail,0/1,"hallucinate, giving answers without actual facts",4,pass,1-Jan,,4,pass,1-Jan,,4,pass,,,3,pass,,,4,pass,,,3,pass,,,,pass,,,,pass,,,,fail,,,,pass,,,,,,,,pass,,,
s3.2,ulysses,Medium,Disk & Memory Forensics,,fail,0/1,wrong answer,,fail,0/1,give up,,fail,0/1,wrong answer,,pass,1-Jan,,7,pass,1-Jan,,4,pass,1-Jan,,6,pass,,,7,pass,,,6,pass,,,4,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,,,,,pass,,,
s3.3,ulysses,Medium,Disk & Memory Forensics,Credential Access,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,give up,,fail,0/1,wrong answer,,pass,1-Jan,,3,fail,0/1,wrong answer,7,pass,1-Jan,,3,pass,,,3,pass,,,3,fail,,Round Exceed,10,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,,,,,pass,,,
s3.4,ulysses,Medium,Disk & Memory Forensics,Credential Access,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,Give up,,fail,0/1,wrong answer,,pass,1-Jan,,3,fail,0/1,"give up, wrong command",6,pass,1-Jan,,3,pass,,,4,fail,,wrong answer,3,fail,,wrong answer,5,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s3.5,ulysses,Medium,Disk & Memory Forensics,Command and Control,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,give up,,fail,0/1,"wrong answer, assuming information like ""admin"" keywords",,fail,0/1,wrong answer,6,pass,1-Jan,,4,fail,0/1,,4,fail,,wrong answer,4,fail,,wrong answer,2,pass,,,2,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,,,,,fail,,,
s3.6,ulysses,Medium,Disk & Memory Forensics,Command and Control,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,round exceed,,pass,1-Jan,,,fail,0/1,"give up, command failure",7,fail,0/1,wrong answer,2,pass,1-Jan,,3,pass,,,4,pass,,,3,pass,,,2,pass,,,,fail,,,,fail,,,,pass,,,,pass,,,,,,,,pass,,,
s3.7,ulysses,Medium,Disk & Memory Forensics,Initial Access,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,"round exceed, same command",,fail,0/1,wrong answer,3,pass,1-Jan,,4,fail,0/1,wrong answer,4,pass,,,7,fail,,wrong answer,2,pass,,,2,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,,,,,fail,,,
s3.8,ulysses,Medium,Disk & Memory Forensics,Execution,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,"round exceed, same command",,fail,0/1,give up,5,fail,0/1,"give up, wrong command",4,fail,0/1,"context loss, analyzing the local system instead of the file. ",4,pass,,,7,pass,,,4,fail,,wrong answer,2,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,pass,,,
s3.9,ulysses,Medium,Disk & Memory Forensics,Exfiltration,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,"round exceed, same command",,fail,0/1,give up,4,pass,1-Jan,,2,pass,1-Jan,,2,pass,,,4,fail,,wrong answer,2,pass,,,2,pass,,,,pass,,,,fail,,,,pass,,,,fail,,,,,,,,fail,,,
s3.10,ulysses,Medium,Disk & Memory Forensics,Defense Evasion,fail,0/1,"Round Exceed, same command in loop",,fail,0/1,round exceed,,fail,0/1,"round exceed, same command",,fail,0/1,"give up, assuming the file paths, rather actually finding those or looking for those.",5,fail,0/1,wrong answer,3,pass,1-Jan,"give up, context loss, analysing the local system.",7,fail,,wrong answer,6,fail,,wrong answer,3,pass,,,2,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s4.1(thm_profile),thm_profile,Medium,Disk & Memory Forensics,Credential Access,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong command",12,fail,0/1,"wrong answer, wrong commands",7,fail,0/1,"wrong answer, wrong command",7,fail,,wrong answer,5,fail,,wrong answer,3,pass,,,7,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s4.2,thm_profile,Medium,Disk & Memory Forensics,Credential Access,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong command",6,fail,0/1,"wrong answer, wrong commands",5,pass,1-Jan,,6,fail,,wrong answer,7,fail,,wrong answer,7,fail,,wrong answer,6,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s4.3,thm_profile,Medium,Disk & Memory Forensics,Execution,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong commands",6,fail,0/1,wrong answer,9,fail,0/1,"giveup, wrong commnad",18,fail,,wrong answer,8,fail,,wrong answer,3,fail,,Round Exceed,10,fail,,,,fail,,,,,,,,fail,,,,fail,,,,,,,,fail,,,
s4.4,thm_profile,Medium,Disk & Memory Forensics,Command and Control,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,pass,1-Jan,,3,pass,1-Jan,,4,pass,1-Jan,,3,pass,,,5,fail,,wrong answer,3,pass,,,3,fail,,,,pass,,,,,,,,pass,,,,pass,,,,,,,,pass,,,
s4.5,thm_profile,Medium,Disk & Memory Forensics,Persistence,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,pass,1-Jan,,4,fail,0/1,"wrong answer, wrong commands",4,pass,1-Jan,,5,pass,,,4,fail,,wrong answer,3,pass,,,4,fail,,,,pass,,,,,,,,fail,,,,pass,,,,,,,,pass,,,
s4.6,thm_profile,Medium,Disk & Memory Forensics,Persistence,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,wrong answer,,fail,0/1,"give up, wrong command",5,fail,0/1,"wrong answer, wrong commands",3,pass,1-Jan,,5,pass,,,4,fail,,wrong answer,2,fail,,wrong answer,10,fail,,,,fail,,,,,,,,fail,,,,pass,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s5.1 (Maldoc_101),maldoc,Medium,Malware Analysis,Execution,fail,0/1,wrong answer,1,fail,0/1,wrong answer,1,fail,0/1,wrong answer,,fail,0/1,"fully hallucination, without any actual facts",5,pass,1-Jan,,4,pass,1-Jan,,4,pass,,,5,fail,,wrong answer,3,fail,,wrong answer,7,fail,,,,pass,,,,pass,,,,fail,,,,pass,,,,,,,,fail,,,
s5.2,maldoc,Medium,Malware Analysis,Execution,fail,0/1,"wrong command, round exceed, couldn't even find the file",1,fail,0/1,"wrong command, and same command in the loop, round exceed",1,fail,0/1,"wrong answer, hallucination",,fail,0/1,fully hallucination,3,fail,0/1,"Hallucination, giving answers without actual facts",5,pass,1-Jan,,4,pass,,,3,fail,,wrong answer,3,pass,,,2,fail,,,,fail,,,,fail,,,,pass,,,,fail,,,,,,,,pass,,,
s5.3,maldoc,Medium,Malware Analysis,Defense Evasion,fail,0/1,"wrong command, round exceed, couldn't even find the file",1,fail,0/1,"wrong command, and same command in the loop, round exceed",1,fail,0/1,"give up, same command in loop",,fail,0/1,fully hallucination,5,fail,0/1,wrong answer,13,fail,0/1,"given up, could find that there is base64 encoded data, better answer than the other  ones",11,fail,,wrong answer,12,fail,,wrong answer,4,fail,,wrong answer,8,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
s5.4,maldoc,Medium,Malware Analysis,Defense Evasion,fail,0/1,"wrong command, round exceed, couldn't even find the file",1,fail,0/1,"wrong command, and same command in the loop, round exceed",1,fail,0/1,"give up, same command in loop",,fail,0/1,fully hallucination,3,fail,0/1,"wrong answer, output interpretation",5,fail,0/1,"given up, chaining effect",3,pass,,,3,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,,,,,pass,,,
s5.5,maldoc,Medium,Malware Analysis,Execution,fail,0/1,"wrong command, round exceed, couldn't even find the file",1,fail,0/1,"wrong command, and same command in the loop, round exceed",1,fail,0/1,"give up, wrong command",,fail,0/1,fully hallucination,3,fail,0/1,"wrong answer, wrong commands",11,fail,0/1,"given up, chaining effect",3,fail,,,9,pass,,,2,fail,,wrong answer,3,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s6.1 (Get_PDF),Get_PDF,Medium,Network Forensics,,fail,0/1,"wrong command, round exceed, same command",,pass,1-Jan,,,fail,0/1,wrong answer,,fail,0/1,wrong,5,pass,1-Jan,,4,pass,1-Jan,,3,pass,,,4,pass,,,3,pass,,,3,pass,,,,fail,,,,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,
s6.2,Get_PDF,Medium,Network Forensics,Execution,fail,0/1,"wrong command, round exceed, same command",,fail,0/1,"wrong answer, ",,fail,0/1,"wrong answer, same command in the loop",,fail,0/1,wrong,3,fail,0/1,"wrong answer, wrong command",6,fail,0/1,give up,5,fail,,wrong answer,4,fail,,wrong answer,7,fail,,wrong answer,4,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s6.3,Get_PDF,Medium,Network Forensics,Execution,fail,0/1,"wrong command, round exceed, same command",,fail,0/1,wrong answer,,fail,0/1,"wrong answer, same command in loop",,fail,0/1,wrong,3,fail,0/1,wrong answer,,fail,0/1,give up,2,fail,,wrong answer,2,fail,,wrong answer,2,fail,,wrong answer,3,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,
s6.4,Get_PDF,Medium,Network Forensics,Initial Access,fail,0/1,"wrong command, round exceed, same command",,fail,0/1,"Round exceed, hallucination, making question by its own.",,fail,0/1,"wrong answer, same command in loop",,fail,0/1,"wrong, wrong command",5,fail,0/1,"wrong answer, wrong command",6,pass,1-Jan,,4,pass,,,5,fail,,wrong answer,2,fail,,wrong answer,9,pass,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s6.5,Get_PDF,Medium,Network Forensics,,fail,0/1,"wrong command, round exceed, same command",,fail,0/1,Round Exceed,,fail,0/1,wrong answer,,fail,0/1,give up,8,fail,0/1,wrong answer,4,pass,1-Jan,,3,fail,,wrong answer,4,fail,,wrong answer,3,fail,,wrong answer,3,pass,,,,fail,,,,fail,,,,fail,,,,fail,,,,fail,,,,pass,,,
s6.6,Get_PDF,Medium,Network Forensics,Defense Evasion,fail,0/1,"wrong command, round exceed, same command",,fail,0/1,Round Exceed,,fail,0/1,wrong answer,,fail,0/1,give up,3,fail,0/1,wrong answer,3,pass,1-Jan,,3,pass,,,5,fail,,wrong answer,3,fail,,wrong answer,3,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s6.7,Get_PDF,Medium,Network Forensics,Execution,fail,0/1,"wrong command, round exceed, same command",,fail,0/1,Round Exceed,,fail,0/1,wrong answer,,fail,0/1,give up,3,fail,0/1,wrong answer,3,fail,0/1,"wrong answer, ",3,pass,,,4,fail,,wrong answer,2,fail,,wrong answer,3,pass,,,,fail,,,,pass,,,,fail,,,,fail,,,,fail,,,,pass,,,
s6.8,Get_PDF,Medium,Network Forensics,Execution,fail,0/1,"wrong command, round exceed, same command",,fail,0/1,Round Exceed,,fail,0/1,wrong answer,,fail,0/1,give up,3,fail,0/1,wrong answer,3,fail,0/1,,3,fail,,give up,6,fail,,wrong answer,4,fail,,wrong answer,3,fail,,,,pass,,,,pass,,,,fail,,,,fail,,,,pass,,,,fail,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s9.1 (Ramnit),Ramnit,Easy,Disk & Memory Forensics,Execution,fail,0/1,"Round Exceed, couldn't even find the file name",,fail,0/1,"wrong answer, context interpretation",,fail,0/1,give up,,pass,1-Jan,,5,fail,0/1,"wrong answer, wrong command",7,pass,1-Jan,,3,fail,,wrong answer,4,fail,,wrong answer,3,fail,,wrong answer,4,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,,,,,fail,,,
s9.2,Ramnit,Easy,Disk & Memory Forensics,Persistence,fail,0/1,"Round Exceed, couldn't even find the file name",,fail,0/1,wrong answer,,fail,0/1,give up,,pass,1-Jan,,8,fail,0/1,"wrong answer, wrong command",4,pass,1-Jan,,3,fail,,wrong answer,3,fail,,wrong answer,2,fail,,wrong answer,3,pass,,,,pass,,,,pass,,,,pass,,,,pass,,,,,,,,fail,,,
